Date,Temp_A,Temp_B
2019-06-25 22:13:52,3.819,1.563
2019-06-25 22:13:58,3.819,1.563
2019-06-25 22:14:04,3.658,1.724
2019-06-25 22:14:10,3.819,1.563
2019-06-25 22:14:16,3.658,1.563
2019-06-25 22:14:22,3.658,1.563
2019-06-25 22:14:28,3.658,1.563
2019-06-25 22:14:35,3.658,1.402
2019-06-25 22:14:41,3.658,1.241
2019-06-25 22:14:47,3.658,1.080
2019-06-25 22:14:53,3.658,1.080
2019-06-25 22:14:59,3.658,1.080
2019-06-25 22:15:05,3.658,1.080
2019-06-25 22:15:11,3.658,0.919
2019-06-25 22:15:17,3.658,1.080
2019-06-25 22:15:23,3.658,1.080
2019-06-25 22:15:29,3.658,1.080
2019-06-25 22:15:35,3.658,0.919
2019-06-25 22:15:41,3.497,0.919
2019-06-25 22:15:47,3.497,0.919
2019-06-25 22:15:53,3.497,0.919
2019-06-25 22:16:00,3.497,0.919
2019-06-25 22:16:06,3.497,1.080
2019-06-25 22:16:12,3.497,0.919
2019-06-25 22:16:18,3.497,1.080
2019-06-25 22:16:24,3.497,1.080
2019-06-25 22:16:30,3.497,1.080
2019-06-25 22:16:36,3.658,1.080
2019-06-25 22:16:42,3.336,1.080
2019-06-25 22:16:48,3.336,1.080
2019-06-25 22:16:54,3.497,1.080
2019-06-25 22:17:00,3.497,1.080
2019-06-25 22:17:06,3.336,1.080
2019-06-25 22:17:12,3.336,1.241
2019-06-25 22:17:18,3.336,1.080
2019-06-25 22:17:25,3.497,1.080
2019-06-25 22:17:31,3.336,1.241
2019-06-25 22:17:37,3.336,1.080
2019-06-25 22:17:43,3.497,1.241
2019-06-25 22:17:49,3.497,1.241
2019-06-25 22:17:55,3.336,1.241
2019-06-25 22:18:01,3.336,1.241
2019-06-25 22:18:07,3.336,1.241
2019-06-25 22:18:13,3.336,1.241
2019-06-25 22:18:19,3.336,1.241
2019-06-25 22:18:25,3.336,1.080
2019-06-25 22:18:31,3.175,1.241
2019-06-25 22:18:37,3.336,1.241
2019-06-25 22:18:43,3.336,1.241
2019-06-25 22:18:50,3.336,1.241
2019-06-25 22:18:56,3.336,1.241
2019-06-25 22:19:02,3.336,1.241
2019-06-25 22:19:08,3.336,1.241
2019-06-25 22:19:14,3.336,1.241
2019-06-25 22:19:20,3.336,1.241
2019-06-25 22:19:26,3.336,1.241
2019-06-25 22:19:32,3.175,1.241
2019-06-25 22:19:38,3.336,1.080
2019-06-25 22:19:44,3.175,1.080
2019-06-25 22:19:50,3.175,1.241
2019-06-25 22:19:56,3.175,1.080
2019-06-25 22:20:02,3.336,1.241
2019-06-25 22:20:08,3.175,1.080
2019-06-25 22:20:15,3.175,1.080
2019-06-25 22:20:21,3.175,1.080
2019-06-25 22:20:27,3.175,1.241
2019-06-25 22:20:33,3.175,1.241
2019-06-25 22:20:39,3.175,1.080
2019-06-25 22:20:45,3.175,1.241
2019-06-25 22:20:51,3.175,1.080
2019-06-25 22:20:57,3.336,1.241
2019-06-25 22:21:03,3.175,1.241
2019-06-25 22:21:09,3.175,1.241
2019-06-25 22:21:15,3.013,1.080
2019-06-25 22:21:21,3.175,1.080
2019-06-25 22:21:27,3.175,1.080
2019-06-25 22:21:33,3.175,1.080
2019-06-25 22:21:40,3.175,1.080
2019-06-25 22:21:46,3.175,1.080
2019-06-25 22:21:52,3.175,1.080
